"","l2.t.0.582496032714844","l2.t.0.445651196128444","l2.t.0.308806359542044","l2.t.0.171961522955644","l2.t.0.0351166863692435","l2.t0.101728150217157","l2.t0.238572986803557","l2.t0.375417823389957","l2.t0.512262659976357","l2.t0.649107496562757","l2.t0.785952333149157","l2.t0.922797169735557","l2.t1.05964200632196","l2.t1.19648684290836","l2.t1.33333167949476","l2.t1.47017651608116","l2.t1.60702135266756","l2.t1.74386618925396","l2.t1.88071102584036","l2.t2.01755586242676"
"Camp",1.98865216364705,1.68861587961886,1.40237837295853,1.12535177140651,0.807202684934145,0.478006958448798,0.245081348866493,0.0919761300395062,-0.055417447312854,-0.210885385595438,-0.373693651996419,-0.543108213703953,-0.718395037906199,-0.898820091791321,-1.08364934254748,-1.27214875736283,-1.46358430342554,-1.65722194792377,-1.85232765804568,-2.04816740097942
"Col4a2",3.0418972103545,1.38517571368613,0.458894685639091,0.515268941856549,0.59128635388548,0.313025820226007,0.0834297556948506,-0.0236922674190212,-0.120769513462527,-0.229025213609464,-0.347443144759535,-0.475007083812428,-0.610700807667826,-0.75350809322542,-0.902412717384893,-1.05639845704594,-1.21444908910822,-1.37554839047146,-1.53868013803532,-1.70282810869949
"Plk5",0.84600885088934,1.02333875784603,1.11560855341456,1.07698809412392,0.960538048801224,0.813537637828442,0.657971343828969,0.493897941158392,0.311738909791502,0.110995441008331,-0.106642970880542,-0.339486831564549,-0.585846646733119,-0.844032922075684,-1.11235616328167,-1.38912687604051,-1.67265556604163,-1.96125273897446,-2.25322890052844,-2.54689455639298
"Arid5b",1.76577539282083,0.415961506560588,-0.274340193077679,-0.114881200561806,-0.106148590759282,-0.490740775255,-0.597179511130918,-0.382260799891008,-0.129176467910596,0.108045057391223,0.330845849348852,0.540667981296716,0.738953526569234,0.927144558500822,1.1066831504259,1.27901137567889,1.4455713075942,1.60780501950625,1.76715458474948,1.92506207665828
"Filip1l",0.947329855441386,-0.505279994698613,-1.00465255563447,-0.290084511267527,0.137606808296612,-0.15476308362234,-0.28376922515286,-0.10756837248597,0.109304493280098,0.315816683427327,0.512910077557423,0.701526555272099,0.882607996173076,1.05709627986206,1.22593328594076,1.3900608940109,1.55042098367419,1.70795543453233,1.86360612618705,2.01831493824006
"Entpd1",0.768763086752349,0.621544948255705,0.537103697978697,0.540625220673483,0.560341664550316,0.524126422909014,0.384124422485181,0.170101232489854,-0.0568733944924066,-0.284910162000173,-0.513912511803839,-0.743783885673821,-0.974427725380528,-1.20574747269437,-1.43764656938576,-1.67002845722509,-1.9027965779828,-2.13585437342927,-2.36910528533492,-2.60245275547016
"Gpr132",0.427896367670797,0.456383862421532,0.492305542753052,0.531449426345899,0.538836438993059,0.491519224395546,0.385847787407729,0.235491586437906,0.0598928417498037,-0.135727656751338,-0.349549749627954,-0.579753277442507,-0.824518080757442,-1.08202400013522,-1.35045087613828,-1.62797854932908,-1.91278686027007,-2.20305564952371,-2.49696475765245,-2.79269402521873
"Pvalb",1.27999521928834,0.519856346672904,0.0876388647479376,0.139123120690028,0.393148706478706,0.633720366024523,0.794095786388138,0.87719713704815,0.91606734243618,0.9197144463494,0.891340548921875,0.834147750287681,0.751338150580893,0.646113849935588,0.521676948485834,0.381229546365709,0.22797374370929,0.0651116406506485,-0.104154662676146,-0.276623066137012
"Bcl2l11",2.88230764347823,1.00176094094952,0.152031121851277,0.558833032842927,0.403152840996738,-0.631073906020409,-1.11117665369406,-0.938146065695959,-0.702800942196136,-0.516695034797857,-0.375352051128255,-0.274295698814458,-0.209049685483599,-0.175137718762812,-0.168083506279239,-0.183410755659992,-0.216643174532219,-0.263304470523049,-0.318918351259616,-0.379008524369046
"Swt1",-0.391534181736635,-0.257108757896326,-0.151268764265442,-0.111704913132265,-0.197549694674879,-0.313339361581963,-0.22966150766373,0.0152354500583807,0.259771122442541,0.47476951257069,0.662915827920666,0.826895275970278,0.969393064197347,1.09309440007969,1.20068449109512,1.29484854472147,1.37827176843654,1.45363936971816,1.52363655604415,1.59094853489231
"Ifi204",-1.13395287187617,-0.98599894828276,-0.777243700097463,-0.475024500451754,-0.119893830343977,0.198630525238255,0.369160506906452,0.431407570176909,0.490398888208064,0.565305417805999,0.654680321555549,0.757076762041554,0.871047901848849,0.995146903562274,1.12792692976667,1.26794114304687,1.41374270598772,1.56388478117405,1.71692053119071,1.87140311862253
"Enpp5",0.548900073970164,0.464835020295543,0.398785115825569,0.412158396334821,0.674583252462512,1.04876650823184,1.11278083585594,0.903211260382541,0.67452092866894,0.474055665906137,0.299249556734978,0.147536685796288,0.0163511377309093,-0.0968730028203223,-0.194701651216568,-0.279700722817001,-0.354436132980774,-0.421473797067057,-0.483379630435012,-0.542719548443804
"Krt1",-0.84192870548756,-0.264744198391758,0.377573309209244,1.0150395391237,1.22731335664888,0.940092240862502,0.477711925667684,0.0283197395074041,-0.327989404316674,-0.583475853428538,-0.747305307347466,-0.828643465592765,-0.836656027683717,-0.780508693139619,-0.669367161479759,-0.51239713222344,-0.318764304889949,-0.0976343789985789,0.141826945931381,0.390453970380629
"Sowahc",-0.275262609592741,-0.887995917360152,-1.04455215120351,-0.486420008598538,0.532567157473891,1.3900277741352,1.28729612317251,0.513576978248814,-0.173492605851214,-0.64315910588033,-0.915186438572249,-1.0093385206607,-0.9453792688794,-0.743072599962055,-0.422182430642391,-0.00247267765415127,0.496292742268985,1.05434991239327,1.65193491598499,2.26928383631044
"Gm2a",-0.611079629551833,-0.452361461790843,-0.2916001623058,-0.128553972193722,0.0321232231422634,0.182250173307701,0.312142027616428,0.424384282593596,0.527111695547416,0.622443866858769,0.711053091222425,0.793611663333155,0.870791877885721,0.943266029574904,1.01170641309547,1.07678532314218,1.13917505440981,1.19954790159314,1.25857615938693,1.31693212248594
"Nufip2",1.88774917996514,-0.440993406346834,-1.43766122088741,-0.738096347926998,-0.437513983534856,-1.07718539190507,-1.3121955104679,-0.996690875968832,-0.621816459941978,-0.280962012303332,0.0289651913460058,0.311057875404988,0.56840876427252,0.804110582347555,1.021256054029,1.22293790371581,1.41224885580689,1.59228163470118,1.76612896479761,1.93688357049512
"Irf7",-0.943448847231917,-1.35661473124792,-1.42983400257206,-0.999032380569951,-0.349532976381339,0.21781243398268,0.493063578629538,0.550498337170074,0.584792163665019,0.632648615551702,0.692834726885417,0.76411753172146,0.845264064115126,0.935041358121724,1.03221644779653,1.13555636719485,1.24382815037199,1.35579883138324,1.47023544428389,1.58590502312925
"Egfr",-1.17155820456984,-1.1057975926596,-0.804111773304549,-0.245122574120914,0.0456568147731877,-0.00934490943866344,0.0249269260534984,0.209479464526823,0.405552416537479,0.587077327995576,0.755376748042256,0.911773225818656,1.05758931046593,1.19414755112521,1.32277049693764,1.44478069704435,1.56150070058651,1.67425305670524,1.78436031454168,1.89314502323698
"Slc20a1",-0.131553889117777,-0.0318195691521005,0.0433213594611979,0.00527976437254094,-0.394139098734428,-0.955353907548462,-1.06255987361719,-0.762226924609409,-0.417025323662747,-0.0956516022230419,0.20406041057394,0.484276885592503,0.747163993696907,0.994887905751408,1.22961479262031,1.45351082516784,1.6687421742583,1.87747501075594,2.08187550552506,2.28410982942989
"Sned1",0.878297553128331,0.146339147500589,-0.335325764910962,-0.394745569379476,-0.0596564794096826,0.405992014986747,0.579130540711515,0.495955853384277,0.408106052012007,0.361427565631476,0.352177547425249,0.376613150575892,0.43099152826598,0.511569833678082,0.614605219994764,0.736354840398599,0.873075848072156,1.021025396198,1.17646063795871,1.33563872653685
"Gbp3",-1.62306562565562,-1.460137270144,-1.22675348280013,-0.893816600559679,-0.538577982343949,-0.234553706222477,-0.0254309386116613,0.120363446627522,0.263985270631403,0.416598108215691,0.577384594509431,0.745527364641679,0.920209053741487,1.10061229693792,1.28591972936001,1.47531398613684,1.66797770239745,1.86309351327089,2.05984405388622,2.25741195937251
"Zim1",-0.899402996983924,-0.778449149502349,-0.651261720652917,-0.527127045967086,-0.454312898893759,-0.408671712729579,-0.295451897954349,-0.117014474994659,0.076788826879797,0.275877148631661,0.47977003390843,0.687987026357615,0.900047669626732,1.11547150736328,1.33377808321478,1.55448694082873,1.77711762385264,2.00118967593402,2.22622264072039,2.45173606185925
"Krt8",0.89148226164645,0.875441963732124,0.81711979838735,0.709760929512073,0.636463889658969,0.597384385693523,0.50121683134086,0.340668256743309,0.152051741568795,-0.0561155923285489,-0.282056397792091,-0.523993327665212,-0.780149034791294,-1.04874617201372,-1.32800739217586,-1.61615534812111,-1.91141269269283,-2.21200207873442,-2.51614615908924,-2.82206758660069
"Cenpf",2.61534671124633,0.6417113890028,-0.18506011888697,0.388066218659777,0.345835916564492,-0.622493174558939,-0.864445388868349,-0.352646503407413,0.121523205138779,0.417154344415611,0.550477693447557,0.537724031259124,0.395124136874785,0.138908789319024,-0.214691232383656,-0.649445149208786,-1.14912218213186,-1.6974915521284,-2.27832248017392,-2.87538418724392
"C1qc",1.5519558166513,0.669777741464777,0.319179521567163,0.574340581495592,0.346246737288175,-0.504398083207777,-1.0327484188868,-1.12077041008755,-1.08937130651424,-1.00513598704863,-0.872867744044564,-0.697369869855888,-0.483445656836442,-0.235898397340078,0.0404686162793655,0.340852091668029,0.660448736472078,0.994455258337666,1.33806836491094,1.68648476383807
"Nox4",-0.62748819184668,-0.649322146436341,-0.495668101499043,-0.160032306419766,-0.0642752373596717,-0.19535562865076,-0.0737415740846757,0.283177452678808,0.615260875923027,0.877099397370497,1.07507891718457,1.21558533552857,1.30500455256586,1.34972246845977,1.35612498337363,1.3305979974708,1.2795274109146,1.20929912386839,1.12629903649548,1.03691304895925
"Osr2",-0.62322517926567,-0.356400240611521,-0.256987425393,-0.244188369186036,0.38889109036932,1.4186086699751,1.68993505970246,1.27268953012848,0.82696333062328,0.474183714901929,0.205900993529538,0.013665477071204,-0.110972523907967,-0.176462698842871,-0.1912547371684,-0.163798328319451,-0.102543161730924,-0.0159389268377079,0.0875646869253006,0.199517990123203
"Ccl6",0.984896199418923,0.835817791831574,0.687426725647929,0.537229866594075,0.374378405261596,0.195675603309,0.0073875472066474,-0.181791416041349,-0.363864045476745,-0.537885996430685,-0.704589148765111,-0.864705382341992,-1.01896657702327,-1.1681046126709,-1.31285136914682,-1.45393872631299,-1.59209856403137,-1.72806276216388,-1.8625632005725,-1.99633175911917
"Chl1",-0.427066572550309,-0.269012169162113,-0.0531190882929119,0.231160681545768,0.471415182051979,0.583057416098076,0.541209828069065,0.421788863966317,0.333425464808708,0.293517728221316,0.297660593970485,0.341449001822552,0.420477891543866,0.530342202900771,0.666636875659612,0.824956849586732,1.00089706444847,1.19005246001119,1.38801797604121,1.59038855230488
"Bmp2",1.77734603815083,1.08296662731152,0.506011500243171,0.0832876312101822,-0.350703837702434,-0.788297784361628,-1.03068980999026,-1.07833233553946,-1.03180705056314,-0.915783851247881,-0.736580729806315,-0.500515678451086,-0.213906689394811,0.116928245149885,0.485671132970361,0.886003981853983,1.31160879958813,1.75616759396018,2.21336237275747,2.6768751437674
"Lypd1",1.80821383054608,1.00224002895191,0.288082377966366,-0.15254295262575,0.0909742862857193,0.770653722537851,1.01428453965666,0.792459191810557,0.496171306138307,0.201439745593597,-0.0918769739260753,-0.383920336523218,-0.674831826300331,-0.964752927359917,-1.25382512380448,-1.54218989973653,-1.82998873925857,-2.11736312647309,-2.40445454548261,-2.69140448038962
"Birc5",2.10450980504688,0.375699354914361,-0.177228204595169,0.70890286432784,0.976588967168432,0.191797739587589,-0.162268388482125,0.0447684360464862,0.236356659411974,0.308780046631996,0.27287176462886,0.139464980324883,-0.0806071393576127,-0.376511427496316,-0.737414717168921,-1.1524838414531,-1.61088563342653,-2.10178692616692,-2.61435455275194,-3.13775534625927
"Cxcl1",0.0177152641646682,-0.542268838296047,-0.470236276601063,0.308045060609091,0.446748257719497,-0.239446227764327,-0.609156722434374,-0.509598594703855,-0.314828216941971,-0.0994820884990868,0.134569267835611,0.385455329272942,0.651305573023724,0.930249476298776,1.22041651630892,1.51993617026497,1.82693791537775,2.13955122885806,2.45590558791675,2.77413046976461
"Rcan1",0.0530439471441212,-0.764519724287233,-0.742664493995063,0.280925472597552,0.743118969817114,0.275632252373869,-0.0611470541166572,-0.0561031288515479,0.0290026222103118,0.140795150450876,0.276848385217531,0.434736255857666,0.612032691718672,0.806311622147943,1.01514697649287,1.23611268410084,1.46678267431925,1.70473087649548,1.94753121997693,2.19275763411099
"Tek",-1.75681291473399,-1.86017982947188,-1.73597050899185,-1.27449959393007,-0.667412795813532,-0.118170698319157,0.228895697583314,0.415956038003309,0.565691907851223,0.702799182071535,0.828425914812211,0.943720160221215,1.0498299724465,1.14790340563604,1.2390885139378,1.32453335149974,1.40538597246982,1.48279443099602,1.55790678122628,1.63187107730858
"Klhl13",-1.14198784310579,-0.938788683842531,-0.730659358742674,-0.519917079860619,-0.327533089860792,-0.156170463412076,0.0119947265358698,0.181307127003335,0.348525334174763,0.513195738020914,0.675549957025895,0.83581960967383,0.994236314448832,1.15103168983502,1.30643735431651,1.46068492637741,1.61400602450185,1.76663226717394,1.9187952728778,2.07072666009754
"Nexn",1.87180030423786,0.879960409980639,0.648453476502005,1.21556992861214,0.786165682624907,-0.678874133229147,-1.2975297462331,-0.998882167561079,-0.627730688467412,-0.342294835763078,-0.134782279776338,0.00259930916457359,0.0776422607314228,0.0981389045959545,0.0718815704299393,0.00666258790512212,-0.0897257133067162,-0.209491003533846,-0.344840953104496,-0.487983232346892
"Phlda1",-0.135298830299132,-0.68676449238202,-0.710084610126709,-0.130375198262987,-0.0252316474620064,-0.53004176521182,-0.707817639093083,-0.471255563436916,-0.176252148348495,0.108504889172891,0.383947037996964,0.651005786993454,0.910612625032102,1.16369904098263,1.41119652371477,1.65403656209826,1.89315064500283,2.1294702612982,2.36392689985411,2.59745204954028
"Camk2b",-0.215691339518804,-0.0816986343214187,0.0479051207965388,0.248314657311851,0.792872612873957,1.47545551280354,1.64026235382337,1.34821755028457,1.00063833348421,0.673923638266991,0.366176689943548,0.0755007138244943,-0.200001064779545,-0.462225420557945,-0.713069128200085,-0.954428962395344,-1.1882016978331,-1.41628410920271,-1.64057297119358,-1.86296505849507
"Ccpg1",-1.06534927892966,-0.881724568772981,-0.696686389331166,-0.513145778307908,-0.345530274207482,-0.202676283292601,-0.0839955026627776,0.0286132919170255,0.157914271111487,0.306851842265745,0.473640860656179,0.656496181559172,0.853632660251109,1.06326515200837,1.28360851210733,1.51287759582438,1.74928725843591,1.99105235521828,2.23638774144789,2.48350827240112
