"","l1.t.0.580472279743976","l1.t.0.473299333927341","l1.t.0.366126388110706","l1.t.0.258953442294071","l1.t.0.151780496477436","l1.t.0.0446075506608015","l1.t0.0625653951558334","l1.t0.169738340972468","l1.t0.276911286789103","l1.t0.384084232605738","l1.t0.491257178422373","l1.t0.598430124239008","l1.t0.705603070055643","l1.t0.812776015872277","l1.t0.919948961688912","l1.t1.02712190750555","l1.t1.13429485332218","l1.t1.24146779913882","l1.t1.34864074495545","l1.t1.45581369077209"
"Gpnmb",2.58399881901746,2.06624730335425,1.61738366941329,1.29375155854865,1.04093355377074,0.73146332597216,0.370846457919874,0.0840512000782114,-0.0663878509082477,-0.143303569697027,-0.206345070838731,-0.265002352811262,-0.319583264719375,-0.370395655667828,-0.417747374761384,-0.461946271104806,-0.503300193802843,-0.542116991960263,-0.578704514681825,-0.613370611072288
"Dkk3",-0.498116589763351,-0.420994792292569,-0.313729020844426,-0.15338764240596,0.0109400188616541,0.0837041024319917,0.0753925368775116,0.091412445307476,0.175379237707255,0.248369470841188,0.239910445633436,0.144271912420039,-0.0324245978131495,-0.284057554080265,-0.604505425395452,-0.987646680772848,-1.42735978922659,-1.91752321977082,-2.45201544141968,-3.02471492318731
"Ms4a7",-2.51364459686523,-2.27804024468498,-1.96915502257492,-1.52433770120323,-0.96165733352211,-0.358087166658075,0.199485228702388,0.617004191016785,0.854602795673285,0.974868877292822,1.03596685082782,1.04970753749455,1.01941624969271,0.948418299821997,0.840039000282098,0.697603663472706,0.524437601793523,0.323866127644229,0.0992145534245281,-0.146191808465894
"Pmaip1",-3.04681075701703,-2.3686591004897,-1.71826275788038,-1.12185022590931,-0.609237325883265,-0.210954979432439,0.0778858758586197,0.293691546398341,0.463695999779448,0.595792579428117,0.694928966522275,0.763674510000218,0.804163180276997,0.818528947767665,0.808905782887281,0.777427656050911,0.726228537673587,0.657442398170384,0.573203207956347,0.475644937446534
"Tnnt3",0.595009461719398,0.774761602330684,0.821157729444561,0.623629506975404,0.265576478475045,-0.0361825829574001,-0.194147211860977,-0.238953902795747,-0.217865756118136,-0.201646980217112,-0.246264978953263,-0.35648613953077,-0.52770396901145,-0.755311974457122,-1.0347036629296,-1.3612725414907,-1.73041211720225,-2.13751589712605,-2.57797738832394,-3.04719009785771
"Gm2564",1.32545418130522,1.22224409313434,1.113427101559,0.994311975464272,0.867782872760734,0.741642916184943,0.613146854614986,0.470104717159799,0.306854451155531,0.130641482661625,-0.0517214656091772,-0.238894725631074,-0.430540529124458,-0.626321107809722,-0.825898693407264,-1.02893551763747,-1.23509381222075,-1.44403580887748,-1.65542373932806,-1.86891983529289
"Ctla2a",2.05678529098089,1.50775807090873,1.01555133641233,0.62791956708909,0.318765469997296,0.0128910168210133,-0.283669497632636,-0.491856769666336,-0.5754747710778,-0.583804436546327,-0.562800860311304,-0.520819944050532,-0.45933466507147,-0.379818000681586,-0.283742928188356,-0.17258242489924,-0.047809468121713,0.0891029648367565,0.236681896668713,0.393454350066672
"Ace",0.8562155904616,0.736497327774061,0.64382180831308,0.597075718189498,0.527492854815621,0.310912335875525,-0.0260997516679038,-0.3221543838175,-0.49153090831288,-0.599797213232778,-0.710699572503955,-0.833401414594295,-0.967074208793475,-1.11088942439115,-1.26401853067699,-1.42563299694065,-1.59490429247181,-1.77100388656011,-1.95310324849523,-2.14037384756684
"Chrna1",0.630369173555506,0.606676524255648,0.605079364318391,0.644872154232294,0.726532821784794,0.836538367151854,0.953967847415332,1.05161271634776,1.10563712398331,1.09897136410627,1.02003018882995,0.871170778121772,0.657302618791917,0.383335197650583,0.054178001507962,-0.325259482825754,-0.750067768540374,-1.2153373688257,-1.71615879687155,-2.24762256586771
"Cfb",0.897968236107982,0.742425330860379,0.603752508311837,0.492482599160034,0.347392338764677,0.0622652572103738,-0.339032275765913,-0.71622300182126,-0.982448177548926,-1.15905561364039,-1.27279072293275,-1.33108263717252,-1.33782444137741,-1.29690922056517,-1.21223005975351,-1.08768004396016,-0.927152258202845,-0.734539787499294,-0.513735716867233,-0.268633131324388
